timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img33.txt 0.01; image not correctly classified by the network. expected label  4  classified label:  6
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img99.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img74.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img40.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img53.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img95.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img34.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img39.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img13.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img7.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img52.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img48.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img15.txt 0.01; can not be verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img14.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img73.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img80.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img71.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img90.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img98.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img94.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img84.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img1.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img97.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img72.txt 0.01; verified
